"ProductServiceOrRnDarea.sum","fiscal_year","Action_Obligation_OMB20_GDP18"
"Products",2000,76402443923.7351
"Products",2001,81480165798.953
"Products",2002,94758074975.499
"Products",2003,114867505117.584
"Products",2004,122766380726.718
"Products",2005,141555970215.372
"Products",2006,151483951506.997
"Products",2007,171508726284.093
"Products",2008,201412801679.534
"Products",2009,181959024719.005
"Products",2010,168355964135.759
"Products",2011,176332934648.37
"Products",2012,171506010514.718
"Products",2013,144957917876.902
"Products",2014,124534690487.307
"Products",2015,123478797568.841
"Products",2016,139967794993.624
"Products",2017,151601404987.775
"Products",2018,166283446527.821
"R&D",2000,24328248229.7374
"R&D",2001,25878358241.5922
"R&D",2002,30139824464.1498
"R&D",2003,34271878172.9321
"R&D",2004,35415508886.6939
"R&D",2005,39366168158.8846
"R&D",2006,42166835679.0941
"R&D",2007,44095611288.0352
"R&D",2008,41912092013.8714
"R&D",2009,44044961588.3317
"R&D",2010,41318862675.7434
"R&D",2011,38185203743.7533
"R&D",2012,33396675202.1385
"R&D",2013,26086766661.414
"R&D",2014,23306277649.5119
"R&D",2015,21447962460.859
"R&D",2016,22081544448.1216
"R&D",2017,22776942069.6633
"R&D",2018,23559767605.1432
"Services (Non-R&D)",2000,68668627265.5644
"Services (Non-R&D)",2001,72946604023.1051
"Services (Non-R&D)",2002,84268410865.4043
"Services (Non-R&D)",2003,106860152076.215
"Services (Non-R&D)",2004,113299338400.384
"Services (Non-R&D)",2005,123691321170.466
"Services (Non-R&D)",2006,134280125664.957
"Services (Non-R&D)",2007,139320121737.959
"Services (Non-R&D)",2008,157115196275.737
"Services (Non-R&D)",2009,173453301683.12
"Services (Non-R&D)",2010,166732809572.23
"Services (Non-R&D)",2011,160639670657.846
"Services (Non-R&D)",2012,152372315246.957
"Services (Non-R&D)",2013,129687452536.015
"Services (Non-R&D)",2014,124819969769.666
"Services (Non-R&D)",2015,115697508618.306
"Services (Non-R&D)",2016,119020355016.599
"Services (Non-R&D)",2017,122638878094.93
"Services (Non-R&D)",2018,135190146678.484
"Unlabeled",2000,37829690.4341026
"Unlabeled",2001,12322865.6594439
"Unlabeled",2002,103653676.399778
"Unlabeled",2003,91696126.1186441
"Unlabeled",2004,8368640.08347127
"Unlabeled",2005,4362822.53591097
"Unlabeled",2006,122010333.304836
"Unlabeled",2007,19532018.4522727
"Unlabeled",2008,390248.350334005
"Unlabeled",2009,1033719.2172956
"Unlabeled",2010,-263894.884639368
"Unlabeled",2011,-143494.091400041
"Unlabeled",2012,-6477.8001
"Unlabeled",2013,-97921.3674391202
"Unlabeled",2015,28552.3936423337
"Unlabeled",2016,3377526.81139193
"Unlabeled",2017,1383678.21415339
"Unlabeled",2018,613341.462194016
